location_name,final_lat,final_long,source,country,state/province,county,city/town,ward,suburb/village,street,house number,postal code
Siaya District Hospital,0.0638712,34.2869563,Google,Kenya,Siaya,,Siaya,,,,,
Bondo District Hospital,-0.0944798,34.2750648,Google,Kenya,Siaya,,Bondo,Nyawita,,,,
St Elizabeth Lwak Mission Health Centre,-0.140612,34.357236,Google,Kenya,Siaya,,Lwak,,,,,
Madiany Sub County Hospital,-0.2813,34.3224,HDX,Kenya,Siaya,,Pap Kodero,,,,,
Ong'ielo Health Centre,-0.1713872,34.3785314,Google,Kenya,Siaya,,,,,,,
Akala Health Centre,-0.0593157,34.4216041,Google,Kenya,Siaya,,,,,,,
Ahero County Hospital,-0.173183,34.923724,Code book,Kenya,Kisumu County,,Ahero,,,,,
Ahmadiyya Muslim Hospital - Shianda,0.313446701,34.57569657,Code book,Kenya,Kakamega County,,Shianda,,,,,
AWASI MISSION HEALTH CENTRE,-0.161626,35.073217,Code book,Kenya,Kisumu County,,Awasi,,,,,
Brother Andre Medical Centre,-1.243333,36.905018,Code book,Kenya,Nairobi County,,Nairobi,Dandora,,,,
Coptic Nursing Home-Maseno,-0.003674953,34.60111145,Code book,Kenya,Kisumu County,,Maseno,,,B1,1,
DISCIPLES OF MERCY HEALTH CENTRE,-0.052635,34.800871,Code book,Kenya,Kisumu County,,Kisumu,West Kajulu,,C34,,
HOLY FAMILY MISSION HOSPITAL -KORU,-0.185578,35.274391,Code book,Kenya,Kisumu County,,Koru,,,To Fortenant,,
Huruma Nursing Hospital,-1.257602,36.875364,Code book,Kenya,Nairobi County,,Nairobi,,,,,
Iguhu Sub County Hospital,0.16296,34.745985,Code book,Kenya,Kakamega County,,Kakamega,,,Iguhu Road,,
Itando Mission of Hope and Health Centre,0.085215,34.720227,Code book,Kenya,Vihiga County,,Maragoli,,,A1,,
Jahmii Kipawa Medical Centre,-1.252291,36.881492,Code book,Kenya,Nairobi County,,Nairobi,Kariobangi North,,Kamunde Road,,
Kasarani Maternity & Nursing Home,-1.221686,36.913392,Code book,Kenya,Nairobi County,,Nairobi,Kasarani Constituency,,Kairu Road,,
Kombewa County Hospital,-0.10352,34.518405,Code book,Kenya,Kisumu County,,Kombewa,,,,,
Masaba Hospital,-0.039321,34.630429,Code book,Kenya,Kisumu County,,Kisumu,,,,,
Melchizedek Hospital -Dagoretti Corner Kawangware,-1.29313,36.753611,Code book,Kenya,Nairobi County,,Nairobi,Maziwa,,Naivasha Road,,
Mkunga Maternity and Nursing Home,-1.2577,36.8909,Code book,Kenya,Nairobi County,,Nairobi,Dandora,,,,
Mungoma Hospital,0.047182,34.721663,Code book,Kenya,Vihiga County,,Majengo,,,C38,,
Mwangaza Ulio na Tumaini Clinic,-1.251062,36.891937,Code book,Kenya,Nairobi County,,Highridge Village,Korogocho,,,,
Nightingale Medical Centre - Kondele,-0.082045,34.776339,Code book,Kenya,Kisumu County,,Kisumu,Manyatta,,,,
Nightingale Medical Centre - Milimani,-0.108555,34.755877,Code book,Kenya,Kisumu County,,Kisumu,,,Okore Road,3,
Nimoli Medical Services -Kasarani,-1.2297,36.9205,Code book,Kenya,Nairobi County,,Nairobi,Kasarani Constituency,,,,
Patanisho Maternity and Nursing Home,-1.2791063,36.90944133,Code book,Kenya,Nairobi County,,Nairobi,Umoja,,Masimba Road,,
PRUDENT COTTAGE HOSPITAL,-1.254453,36.911259,Code book,Kenya,Nairobi County,,Nairobi,Njiru,,Koma Rock Road,,
Redeemed Gospel Church Health Center,-1.247174,36.887974,Code book,Kenya,Nairobi County,,Nairobi,Ruaraka,,,,
Ruaraka Uhai Neema Hospital,-1.227001,36.885123,Code book,Kenya,Nairobi County,,Nairobi,Kasarani Constituency,,,,
Samaritan Medical Services,-1.24245,36.912171,Code book,Kenya,Nairobi County,,Nairobi,Dandora,,Muigai Kenyatta Road,,
St Elizabeth Hospital - Chiga,-0.099907,34.844841,Code book,Kenya,Kisumu County,,Kisumu,East Kolwa,,,,
St Josephs Hospital Nyabondo,-0.338204,35.00945,Code book,Kenya,Kericho County,,Kap Sarok,,,,,
St Marys Hospital -Mumias,0.326795,34.498971,Code book,Kenya,Kakamega County,,,,,,,
St Monica Hospital - Kisumu,-0.045017,34.770895,Code book,Kenya,Kisumu County,,Kisumu,,,,,
St Vincent De Paul Health Centre,-0.16035,35.19488,Code book,Kenya,Kisumu County,,Muhoroni,,,,,
St. Clares Bolo Health Centre,-0.328039,34.851722,Code book,Kenya,Kisumu County,,Kusa,,,,,
St. Elizabeth Hospital Mukumu,0.212704,34.768082,Code book,Kenya,Kakamega County,,Mukumu,,,,,
St.Pius X Musoli Health Centre,0.20518,34.664565,Code book,Kenya,Kakamega County,,Musoli,,,,,
Star Children Hospital - Kisumu,-0.089656,34.762167,Code book,Kenya,Kisumu County,,Kisumu,,,,,
Star Hospital Kisumu Annex,-0.084515,34.790027,Code book,Kenya,Kisumu County,,Kisumu,Manyatta,,,,
EFFIDUASE DISTRICT HOSPITAL,6.8474,-1.3937,HDX,Ghana,Ashanti Region,Sekyere East,Effiduase,,,,,
EJISU HEALTH CENTRE,6.721,-1.4703,HDX,Ghana,Ashanti Region,Ejisu Municipal,Ejisu,,,,,
JUABEN GOVERNMENT DISTRICT HOSPITAL,6.816,-1.4139,HDX,Ghana,Ashanti Region,Juaben Municipal,Juaben,,,,,
CHIKWAWA DISTRICT HOSPITAL,-16.0235,34.7928,HDX,Malawi,Southern Region,Chikwawa,Chikwawa,,,,,
NANORO CENTRE M├⌐DICAL AVEC ANTENNE CHIRURGICALE,12.6884925,-2.1912946,Gmaps,Burkina Faso,Centre-Ouest,Boulkiemdé,Nanoro,,,,,
NAZOANGA CENTRE DE SANT├⌐ ET DE PROMOTION SOCIALE,12.6237,-2.1311,HDX,Burkina Faso,Centre-Ouest Region,Boulkiemde,Nazoanga,,,,,
NCHELENGE HEALTH CENTRE,-9.4842,28.77,HDX,Zambia,Luapula Province,Nchelenge,Kampampi,,,,,
Lungwena Health Centre,-14.2451342,35.2484252,Google,Malawi,Southern Region,Mangochi,Biti Kalanje,,,,,
Namwera Health Centre,-14.3639861,35.5024494,OSM,Malawi,Southern Region,Mangochi,Namwera,,,,,
Mangochi District Hospital,-14.4816937,35.2652693,Google,Malawi,Southern Region,Mangochi,Mangochi,,,,,
St Martin Hospital,-14.3472979,35.293978,Google,Malawi,Southern Region,Mangochi,Malindi,,,,,
Lungwena Health Centre,-14.2451342,35.2484252,Google,Malawi,Southern Region,Mangochi,Biti Kalanje,,,,,
Bangwe Health Centre,-15.8239623,35.0804385,Google,Malawi,Southern Region,Blantyre,Blantyre,Bangwe West,,,,
Chikowa Health Centre,-15.6714,34.871,HDX,Malawi,Southern Region,Blantyre,,,,,,
